target,center,x,y,z
Target3,999.999 m; 5004.685 m; 102.120 m,999.999,5004.685,102.120
Target4,997.307 m; 5001.680 m; 102.114 m,997.307,5001.680,102.114
Target5,997.111 m; 4999.627 m; 101.904 m,997.111,4999.627,101.904
